"date_time_utc","Latitude","Longitude","Patm_mbar","Temperature_raw_C","Temperature_adj_C","CTDSAL_PSS78","Type","xCO2_dry_ppm","Std_Offset_ppm","xCO2_EQU_corr_ppm","xCO2_ATM_interp_ppm","xCO2_ATM_ppm","fCO2_water_microatm","fCO2_ATM_interp_microatm","dfCO2_microatm","U_10_MSY_m_s","Sc_35ppt","k_cm_hr_35ppt","K_mol_L_atm","F_mol_m2_s","F_mmol_m2_d","F_micromol_m2_s"
2022-10-12 16:34:09,28.869449,-89.502489,1016.87407847375,25.6988224058163,25.6988224058163,23.3612185723728,"EQU",530.7,NA,494.597,343.5118,NA,450.92,332.63,118.29,2.59313370016188,505.532986798253,0.743696690588983,0.0300580282271767,7.34517027283248e-09,0.634622711572726,0.00734517027283248
2022-10-12 16:36:39,28.866346,-89.507487,1016.86623333692,25.7073782551223,25.7073782551223,23.1293282881692,"EQU",491.82,NA,455.851,343.4635,NA,413.43,332.58,80.86,2.59313370016188,505.323726856676,0.743850661013782,0.0300822871407478,5.02606200290601e-09,0.434251757051079,0.00502606200290601
2022-10-12 16:39:09,28.866346,-89.507487,1016.85071238275,25.7159341044283,25.7159341044283,22.8974380039656,"EQU",474.98,NA,439.073,343.4149,NA,399.24,332.52,66.72,2.59313370016188,505.114556530794,0.744004661110099,0.0301065614403615,4.15135955171478e-09,0.358677465268157,0.00415135955171478
2022-10-12 16:41:39,28.858664,-89.520025,1016.83519142858,25.7244899537343,25.7244899537343,22.6655477197621,"EQU",469.8,NA,433.919,343.3664,NA,394.07,332.46,61.61,2.59313370016188,504.905475765719,0.744158690894449,0.0301308511300201,3.83729922462867e-09,0.331542653007917,0.00383729922462867
2022-10-12 16:44:09,28.855787,-89.524523,1016.81967047442,25.7330458030403,25.7330458030403,22.4336574355585,"EQU",466.81,NA,430.947,343.3181,NA,391.46,332.4,59.06,2.59313370016188,504.696484506659,0.744312750383317,0.0301551562137192,3.68220516765618e-09,0.318142526485494,0.00368220516765618
2022-10-12 16:46:39,28.855408,-89.525245,1016.80414952025,25.7416016523463,25.7416016523463,22.2017671513549,"EQU",466.57,NA,430.717,343.2695,NA,393.02,332.34,60.68,2.59313370016188,504.487582698921,0.744466839593159,0.0301794766954479,3.78704210976287e-09,0.327200438283512,0.00378704210976287
2022-10-12 16:51:30,28.856158,-89.525865,1016.77403886917,25.7582,25.7582,21.7519,"STD1z",-0.77,-0.77,NA,NA,NA,NA,NA,NA,2.59313370016188,504.082568084783,0.744765857480023,0.0302267023570062,NA,NA,NA
2022-10-12 16:56:20,28.852194,-89.532981,1016.74478422222,25.7697865662999,25.7697865662999,22.4692595830921,"STD4s-DRAIN",2007.4,30.9,NA,NA,NA,NA,NA,NA,2.70838408683574,503.800044637556,0.778084639590698,0.030121903370782,NA,NA,NA
2022-10-12 17:01:28,28.842051,-89.550107,1016.71581177444,25.782092298784,25.782092298784,23.2311449334105,"STD1",0.33,0.33,NA,NA,NA,NA,NA,NA,2.88586968231348,503.500164416788,0.829320873777142,0.030011023219729,NA,NA,NA
2022-10-12 17:06:15,28.836508,-89.560221,1016.68881472083,25.7935590040533,25.7935590040533,23.9410835552982,"STD2",688.26,79.89,NA,NA,NA,NA,NA,NA,3.05125398719047,503.220896547057,0.877091123115136,0.029908094272135,NA,NA,NA
2022-10-12 17:11:02,28.832312,-89.567611,1016.66181766722,25.8050257093225,25.8050257093225,24.6510221771859,"STD3",1557.4,65.9,NA,NA,NA,NA,NA,NA,3.21663829206747,502.941788658604,0.924887810880442,0.0298055412317961,NA,NA,NA
2022-10-12 17:15:49,28.832851,-89.568527,1016.63482061361,25.8164924145918,25.8164924145918,25.3609607990735,"STD4",1979.3,2.8,NA,NA,NA,NA,NA,NA,3.38202259694446,502.662840621685,0.972710947377851,0.0297033626606772,NA,NA,NA
2022-10-12 17:20:17,28.833471,-89.569273,1016.60961082139,25.8272,25.8272,26.0239,"ATM",380.9,NA,345.336,NA,345.336,NA,NA,NA,3.53645811508743,502.402503741769,1.01739198161645,0.0296082853636522,NA,NA,NA
2022-10-12 17:21:43,28.833471,-89.569273,1016.60152111194,25.8290621866667,25.8290621866667,26.0652809066667,"ATM",377.3,NA,341.745,NA,341.745,NA,NA,NA,3.58601578135719,502.357242022942,1.03169553737761,0.0296014584787197,NA,NA,NA
2022-10-12 17:23:11,28.830191,-89.576724,1016.59324326972,25.83096768,25.83096768,26.10762416,"ATM",374.75,NA,339.201,NA,339.201,NA,NA,NA,3.63672595149369,502.310932062665,1.04633306569813,0.0295944747123533,NA,NA,NA
2022-10-12 17:24:38,28.830191,-89.576724,1016.58505949389,25.83285152,25.83285152,26.14948624,"ATM",379.37,NA,343.811,NA,343.811,NA,NA,NA,3.68685986969682,502.265152683268,1.06080558271542,0.0295875721790574,NA,NA,NA
2022-10-12 17:26:05,28.830191,-89.576724,1016.57687571806,25.83473536,25.83473536,26.19134832,"ATM-DRAIN",378.27,NA,342.714,NA,342.714,NA,NA,NA,3.73699378789995,502.219377609879,1.07527941649615,0.0295806715066115,NA,NA,NA
2022-10-12 17:31:29,28.822301,-89.591449,1016.54639820806,25.84175104,25.84175104,26.34724848,"EQU",429.86,NA,394.189,342.5153,NA,364.67,331.49,33.18,3.9236994143116,502.048942791727,1.12919355443656,0.0295549888108527,3.07590608087711e-09,0.265758285387783,0.00307590608087711
2022-10-12 17:34:00,28.819698,-89.596404,1016.53219418333,25.8450206933333,25.8450206933333,26.4199056533333,"EQU",420.44,NA,384.793,342.5013,NA,355.79,331.47,24.32,4.01071345625036,501.969532141147,1.15432644569264,0.0295430282128373,2.30379973790761e-09,0.199048297355217,0.00230379973790761
2022-10-12 17:36:30,28.817087,-89.601326,1016.49226300125,25.8482686933333,25.8482686933333,26.4920816533333,"EQU",418.37,NA,382.729,342.4874,NA,353.3,331.44,21.86,4.09715124625576,501.89066022086,1.17929682291174,0.0295311523638134,2.11471175646709e-09,0.182711095758757,0.00211471175646709
